imagen_nombre,imagen_path,surf_num_keypoints,surf_kp_mean_x,surf_kp_std_x,surf_kp_mean_y,surf_kp_std_y,surf_kp_mean_size,surf_kp_std_size,surf_kp_mean_response,surf_kp_std_response,surf_kp_density,surf_num_scales,surf_scale_entropy,surf_dominant_scale,surf_mean_angle,surf_std_angle,surf_angle_entropy,surf_dominant_orientation,surf_descriptor_length,surf_descriptor_mean,surf_descriptor_std,surf_descriptor_sparsity,surf_descriptor_energy,surf_descriptor_entropy,surf_descriptor_diversity,surf_spatial_uniformity,surf_spatial_clustering,surf_edge_concentration,surf_center_concentration,surf_size_gradient,surf_algorithm_used,nombre_imagen,output_path
circulos,./images\circulos.jpg,67,297.10365070513825,186.37575482390477,175.91010796845848,77.68723718246973,13.939119858528251,17.845758126363403,0.056409251876175404,0.03742173615336448,0.0003577683796830279,256,-1.16491180648177,,197.84491991640917,98.56450340078996,-7.012835999199751,,128,,,0.23892257462686567,,1.6147319508049038,459.9625597569789,0.474335778562903,0.6782715406762644,0.22388059701492538,0.04477611940298507,-0.18398928468281295,SIFT,batch_circulos_surf,./resultados_deteccion\surf_orb_analysis\batch_circulos_surf.png
senal2,./images\senal2.jpg,500,394.32872932815553,182.30227284327546,266.47604070281983,97.92673070862516,2.6428350236415863,1.5898108863186255,0.06431318686157465,0.012616020288200443,0.0017442874585731729,256,0.3635478116392252,,163.5637886352539,103.83089155587265,4.239179608952768,,128,,,0.104671875,,1.397664077646893,530.9165645173287,0.6422585149287746,0.6089175308939533,0.248,0.12,0.012065527123271991,SIFT,batch_senal2_surf,./resultados_deteccion\surf_orb_analysis\batch_senal2_surf.png
senal3,./images\senal3.jpg,500,553.5092683563232,232.3468170021595,424.40510382270816,242.64929844180867,6.033924729347229,15.366475228595998,0.05985637355595827,0.009180778950714353,0.00045740632318501173,256,0.4914036482656828,,179.3240657043457,110.70459859168287,6.046721773244668,,128,,,0.193203125,,1.5715762285576078,546.0207501152709,0.8237329664384916,0.5483258889336564,0.21,0.262,-0.0609371323171559,SIFT,batch_senal3_surf,./resultados_deteccion\surf_orb_analysis\batch_senal3_surf.png
senal4,./images\senal4.jpg,500,484.80438957977293,196.26210245867662,465.11155522155764,157.95693925955732,9.52214799451828,12.865378007852279,0.04709611440449953,0.009253423774759654,0.00046451133407655144,256,0.5785480719807538,,195.1522582397461,103.86421026553509,4.699496466498912,,128,,,0.17240625,,1.5065017072349458,529.1367394529428,0.9415264202330218,0.5150586618749078,0.096,0.308,0.08968337802905835,SIFT,batch_senal4_surf,./resultados_deteccion\surf_orb_analysis\batch_senal4_surf.png
trafico1,./images\trafico1.jpg,500,135.6921895265579,80.03280111356705,85.025870429039,45.86674137609698,3.664598723888397,2.0075211969992015,0.05227081996947527,0.013706897764652495,0.00992063492063492,256,0.43970090611083457,,182.03795587158203,101.68601922416703,3.8861851154646123,,128,,,0.118875,,1.4882415991613904,520.3347948643262,0.3184085425983967,0.7584902309788902,0.314,0.136,-0.10612278068109354,SIFT,batch_trafico1_surf,./resultados_deteccion\surf_orb_analysis\batch_trafico1_surf.png
trafico10,./images\trafico10.jpeg,500,335.9840884332657,257.7789440707064,213.72467197608947,128.77724875201156,4.010055884599685,6.044957872723605,0.09651168206334114,0.011792503150707097,0.0008071025020177562,256,0.41964893158376315,,178.2840220336914,100.06484834205321,5.1562288078392156,,128,,,0.1401875,,1.6194701418415005,522.7417097182908,1.055185291783387,0.48657413226826374,0.324,0.088,-0.06488875529187452,SIFT,batch_trafico10_surf,./resultados_deteccion\surf_orb_analysis\batch_trafico10_surf.png
trafico11,./images\trafico11.jpg,500,230.08150419092178,130.35095847717216,160.25537625074386,77.78827791395673,4.097978519678116,4.969677154523062,0.05481259723007679,0.014762962534547883,0.0041928721174004195,256,0.44350913496363603,,172.06792010498046,105.215686809944,5.151516996795024,,128,,,0.1478125,,1.4447974361304532,539.7647434189107,0.6370243323441728,0.6108644692947405,0.302,0.05,-0.09849631116590424,SIFT,batch_trafico11_surf,./resultados_deteccion\surf_orb_analysis\batch_trafico11_surf.png
trafico13,./images\trafico13.jpg,500,291.0918385505676,93.33331122472462,203.5600742559433,110.14019280038274,4.467220596313476,4.509268592175177,0.05560567922890186,0.012744579435904535,0.0020729684908789387,256,0.43482289390543344,,176.1611336364746,109.75906247212203,5.0750772479795305,,128,,,0.197078125,,1.5146965070907947,538.0834730590983,0.9108589352896601,0.5233248679596612,0.148,0.286,0.04456466237015662,SIFT,batch_trafico13_surf,./resultados_deteccion\surf_orb_analysis\batch_trafico13_surf.png
trafico2,./images\trafico2.jpg,500,397.6750516281128,183.8168214984267,145.9147495985031,63.12824090737294,5.037574990034104,5.605337467743305,0.07399524905532598,0.01948937697643192,0.0017725719309689587,256,0.4652314594172556,,188.6951183166504,104.16945533533601,5.298834873893672,,128,,,0.187625,,1.625535230764377,515.0019076803302,0.6947632690336056,0.59005291079398,0.116,0.234,0.15226120023328799,SIFT,batch_trafico2_surf,./resultados_deteccion\surf_orb_analysis\batch_trafico2_surf.png
trafico3,./images\trafico3.jpg,502,116.32512765766614,86.38938726959783,63.44430995604906,30.09589415779218,3.3259979493589515,3.1518309241019766,0.048613267056495546,0.014630477845913885,0.009960910371649105,256,0.39844630491101607,,174.0622277430804,103.27076956834135,5.158354253615336,,128,,,0.09655129482071713,,1.678202149326689,469.6022596209246,0.7580355289869072,0.5688167181560114,0.23904382470119523,0.13346613545816732,-0.08889628211313683,SIFT,batch_trafico3_surf,./resultados_deteccion\surf_orb_analysis\batch_trafico3_surf.png
trafico4,./images\trafico4.jpg,432,98.75203255315621,52.000330257508594,113.04795740048091,73.24306952459249,4.011622335623811,3.3455576500682587,0.03935842286295223,0.019455854969320154,0.008597699319348805,256,0.46339698408836055,,175.72930996506304,102.53360797786983,4.959244384612427,,128,,,0.17981409143518517,,1.5155125724338667,525.8394795690675,0.31242282997718224,0.7619495616495683,0.3055555555555556,0.08101851851851852,-0.14987922400038228,SIFT,batch_trafico4_surf,./resultados_deteccion\surf_orb_analysis\batch_trafico4_surf.png
trafico5,./images\trafico5.jpg,500,612.6100832834244,376.64025136484236,326.2241410636902,204.75292890380197,4.884919273376465,8.8812918850023,0.06769371313601732,0.009972465298948793,0.0005341880341880342,256,0.41246020817132345,,169.60636813354492,102.63028106440433,5.594057924063721,,128,,,0.1473125,,1.4411313162030865,534.5868500140411,0.671845220269055,0.5981414953227949,0.39,0.086,-0.17578091728063677,SIFT,batch_trafico5_surf,./resultados_deteccion\surf_orb_analysis\batch_trafico5_surf.png
trafico6,./images\trafico6.jpg,501,548.0599098928913,322.1557883939583,383.4389241879096,175.22710521494773,4.433545819537606,5.709704959523697,0.07516465935402526,0.00720666044365684,0.000521875,256,0.44282890578842776,,181.11157229608168,104.60700924183574,5.563523859282537,,128,,,0.13209518463073852,,1.7481828832780129,500.4195980831405,0.767962612783358,0.565622820736955,0.249500998003992,0.2954091816367265,0.07296786082646829,SIFT,batch_trafico6_surf,./resultados_deteccion\surf_orb_analysis\batch_trafico6_surf.png
trafico7,./images\trafico7.jpg,500,663.3750157527924,305.33587423937314,525.0431253356934,130.62757000210618,4.3236325702667235,4.597293387351236,0.06636119478940963,0.008188122618703239,0.0005511463844797178,256,0.43221754161737985,,176.50281506347656,98.98275172991268,3.43825814924925,,128,,,0.17175,,1.5982413888462248,532.7315478915114,0.7635862754122162,0.5670264131343744,0.19,0.2,0.07812538470129873,SIFT,batch_trafico7_surf,./resultados_deteccion\surf_orb_analysis\batch_trafico7_surf.png
trafico8,./images\trafico8.jpg,501,281.3314978957414,159.1491687474983,149.77000063955188,69.93390843140294,5.143790186046364,6.232373394413872,0.047325519677586185,0.00926030404990715,0.002021302348099734,256,0.46299714543200765,,195.22968050105843,99.67838825127525,4.228847183312172,,128,,,0.17323166167664672,,1.4171474383867526,537.6373093728156,0.725070333921898,0.5796865092025139,0.17165668662674652,0.2315369261477046,-0.0875321456815299,SIFT,batch_trafico8_surf,./resultados_deteccion\surf_orb_analysis\batch_trafico8_surf.png
